article,label
"Kumakalat ngayon sa social media ang mga screenshots ng usapan ng Dilawan / anti-DU30 Blogger na si Jover Laurio (aka Pinoy Ako Blog) at ang dating financial manager ni Kris Aquino na si Nicko Falcis. Sa mga screenshots na nagva-ciral ngayon, mababasa na pino-pondohan ni Nicko ang mga Facebook posts ni Laurio upang umabot sa mas maraming tao ang mga inilalathala anti-Duterte posts ni Jover. Matatandaang naging laman ng balita kamakailan lang si Nicko dahil inakusahan ito ni Kris ng pagdispalko sa kanyang pera. Ang mga akusasyon ni Kris ay mariing pinabulaanan naman ng kampo ni Falcis. Sa isa namang screenshot, makikita na magkakasama sa isang group chat sina Jover, Nicko at Kris. ""Si Kuya, the former finance guy ni Kris Aquino, ang lumapit sayo para i boost ka? Haha ano kala mo sa mga Pilipino, naive at pinanganak kahapon! Awww ang close nyo pala, ang cute nyo! Kaya pala mega defend ni Jover Laurio si Kris Aquino against Mocha Uson, Jay Sonza, at iba pa! Ayun kahit pribadong tao tulad ng Kuya ko, nag blog si Jover at pumanig sa side ni Kris Aquino kahit presumed innocent ang Kuya ko. San na napunta ang due process na iniiyak mo against EJKs and Duterte, Jover Laurio?,"" sabi ni Attorney Jesus Falcis, ang kapatid ni Nicko Falcis. Hindi tuloy maiwasan ng pro-government blogger at university lecturer na si Sass Rogando Sasot na ikonekta si Kris sa isyu. Pinopondohan daw ba ni Kris si Jover Laurio? Isa sa mga pina-boost ni Jover ay ang artikulo nito laban kay Sasot. ""IS KRIS AQUINO FINANCING JOVER LAURIO? Jover Laurio to Nicko Falcis the ex financial guy of Kris Aquino: 'Nicko, puwede paboost naman nito, please?' Boost = pay Facebook to make sure the post reaches a lot of people. Saan kukuha ng pera si Nicko Falcis? Kailangan pa bang i-memorize yan??,"" sabi ni Sasot. Dumepensa naman si Jover sa mga ipinaparatang sa kanya. Hindi daw siya nanghihingi ng card. ""I asked a new card from you? When the screenshot reveals na nagkwento lang ako na hindi tinanggap ang card ko sa boosting hence I need a new one? Saang part diyan na humingi ako ng card sa yo?,"" sabi ni Jover. Para maging klaro sa inyo ang nangyayare, panoorin ang video sa ibaba. Source: Sass | Falcis | Byron",1
"Kabuuang 25 koponan mula sa iba't ibang subdibisyon sa Salawag ang sasabak sa liga na tatampukan ng mga nanay na nahihilig sa larong basketball. Pag-aagawan nila ang unang korona ng kakaibang torneo na suportado ni PSC Commissioner Gillian Akiko Thomson Guevarra. ""We wanted all women, especially our nanay to be involved in sports and physical activities for them to have a healthy condition and be away from any kind of sickness,"" sinabi ni PSC Games chief Atty. Jay Alano. Sisimulan ang torneo, sa pakikipagtulungan ni Salawag Barangay Chairman Eric Paredes, sa Abril kung saan ay isasagawa ang mga laro sa iba't ibang kasaling subdibisyon upang mahimok ang mga nanay at iba pang kababaihan na magpartisipa sa sports. ""Alam naman natin na ang mga nanay ay lagi na lamang nasasabak sa gawaing bahay at hindi na nila naaasikaso ang kanilang pisikal na kondisyon kung kaya ini-encourage natin ang mga ganitong aktibidad para mabigyan natin sila kahit kaunting pagpapakondisyon na maalagaan ang kanilang kalusugan,"" giit ni Alano.",0
"Muli na namang inulit ni Lee ang kanyang kabayanihan, may tatlong araw ang nakalipas, nang kanyang isalba ang Rain or Shine sa pamamagitan ng limang krusyal na foul throws sa dying seconds ng laban nila ng Globalport para maiposte ang 104-98 panalo. Muling nagningning ang ipinagmamalaking anak ng Tondo sa kanyang ipinoste na 25 puntos at 5 rebounds kasabay sa pagbuslo sa lahat ng kanyang 10 free throws. Dahil sa ipinamalas niyang performance, si Lee ang nahirang upang maging Accel-PBA Press Corps Player of the Week mula Pebrero 2-8. At ang mahalaga ay naitala din ng Rain or Shine ang una nilang back-to-back win sa ginaganap na PBA Commissioner's Cup matapos mabigo sa una nilang laban kontra sa Talk 'N Text, 89-86. Nagtala ang dating shooting guard ng University of the East (UE) ng average na 25.0 points, 4.5 rebounds at 2.0 assists, habang naiposte din ang 57.1 percent shooting sa field at perpektong 16-of-16 sa foul line. Ayon kay Lee, nais niyang makagawa ng impact bilang starter dahil isa siya sa mga inaasahan ni coach Yeng Guiao upang manguna sa koponan. ""Big challenge kasi para sa akin na every time i-start niya (Guiao) ako, dapat maganda agad ang start ko,"" ayon Kay Lee.",0
"Nagsimula ang naiibang love story nina Fr. Francis at Sister Joanna nang himukin ng huli ang una na makiisa sa isang non-government organization na tumutulong sa mga militanteng grupo. Mula sa pagiging simpleng magkakakilala na sabay nagmamartsa sa Mendiola, nagkalapit sina Fr. Francis at Sis. Joanna dahil sa maraming bagay na pinagkukwentuhan nila gaya ng kanilang piniling bokasyon, ang hangaring makatulong at makapagsilbi sa kanilang kapwa, at ang kanilang personal na buhay. Dahil sa labis na saya na dulot ng madalas nilang pag-uusap at pagsasama, umusbong sa pagitan ng magkaibigang Fr. Francis at Sis. Joanna ang isang espesyal na pag-ibig--isang damdaming nagtulak kay Sis. Joanna na iwan ang kanyang bokasyon upang iligtas ang kanyang minamahal sa posibleng pagbitaw sa kanyang pagpapari. Pero ano ang mangyayari kapag nalaman ni Fr. Francis ang sakripisyong ginawa ni Sis. Joanna? Paano higit na mapapalalim ng kanilang pag-ibig ang kanilang relasyon sa Panginoon? Makakasama nina Arjo Atayde at Yen Santos sa MMK episode na ito sina Gio Alvarez, Jopay Paguia, Abby Bautista, Minco Fabregas, Aleck Bovic, Melissa Mendez, Jerry O'Hara, Peewee O'Hara, Bodjie Pascua, Rubi Rubi, at Dale Badillo, mula sa panulat nina Joan Habana at Arah Jell Badayos at sa direksyon ni Elfren Vibar.",0
"Nagkaroon ng ilang aberya sa pagsisimula ng overseas absentee voting (OAV) nitong Sabado, Abril 13, sa ilang lugar na pinagdausan ng botohan tulad sa Hong Kong para sa 2019 midterm elections. Isa rito ang dalawang vote counting machines sa Hong Kong na nagkaproblema sa unang araw ng OAV. Hindi kasi binabasa ng makina ang mga balota at ang ilan ay nire-reject pa nito. Kabilang pa sa mga naging aberya ang pagkawala o hindi kaagad makita sa listahan ang pangalan ng botante. Ayon sa isang OFW sa Hong Kong, kinailangan na pitong beses na ipasok sa makina ang kaniyang balota bago ito tuluyang binasa. Ayon kay Consul General Antonio Morales, minomonitor na nila ang mga naging problema sa botohan dahil bukod sa makina, naging problema rin ang hindi tamang pag-shade sa balota ng mga botante, overvoting at problema sa barcode ng balota. Inulan naman ng reklamo ang Facebook page ng Philippine Embassy in Russia dahil kulang ang nakarating na balota kumpara sa dami ng mga botante -- 3,529 ang nagparehistrong botante sa Russia subalit 2,169 lamang ang dumating na mga balota. Sa Jeddah, Saudi Arabia, may mga OFW na hindi nakaboto dahil wala raw sa listahan ang kanilang mga pangalan. Mayroon din inabot ng ilang oras bago nakita ang pangalan at pinayagang makaboto. May nagreklamo rin na naputol ang resibo habang pini-print ito kaya ibibigay nalang sa COMELEC ang pangalan ng mga hindi nakaboto. Sinita naman ang ilang botante dahil nahuling kinukunan ng picture ang kanilang balota. Naging maayos at mabilis naman ang botohan sa konsulado ng Pilipinas sa Dubai. Sinamantala ng karamihan sa mga OFW na walang pasok at maagang bumoto. Marami rin ang bumoto sa Rome, kabilang na ang mga walk-in registered voters. Gayunman, walang eleksyon na gagawin sa Damascus sa Syria; Tripoli sa Libya, at Baghdad sa Iraq dahil sa mga kaguluhang nangyayari doon.",1
"KAKAIBANG Lady Gaga, na talaga namang ikinagulat ng lahat, ang napanood sa 87th Academy Awards noong Linggo, Pebrero 22, nang awitin niya ang The Sound of Music medley sa Dolby Theatre sa Los Angeles. Inawit ng singer ang ilang medley song kabilang na ang The Hills Are Alive, Edelweiss at Climb Ev'ry Mountain. Ayon sa ulat ng US Weekly, ang My Favorite Things ay isa rin sa presentasyon ni Gaga -- ito ang una niyang pagtatanghal simula nang isiwalat niya noong Valentine's Day ang planong pagpapakasal sa aktor na si Taylor Kinney.",0
"Sa isang speaking engagement, binunyag ng dating rebelde na si Ka Tina na pinagsisisihan niya ang pagsali sa New People's Army at inabusahan ang mga kabutaan na layuan ang nasabing grupo. Isiniwalat rin niya sa kabataan ang taktikang ginagamit ng mga makakaliwa para makapanghikayat ng mga miyembro. Ayon kay Ka Tina, madalas na paraan ng mga NPA recruiter ay galitin ang emosyon ng mga tao para mag-aklas laban sa gobyerno. Ayaw din daw ng mga NPA sa mga taong nag-iisip. Sa kalagitanaan ng kanyang pagsasalita, nagpahayag ito ng pagsuporta kay Pangulong Rodrigo Duterte. ""May Presidente tayong nagta-trabaho, inaaway pa natin. I would rather have a President who have a foul mouth. Kahit mag-mura siya minu-minuto, oras-oras. Kita mo naman nagta-trabaho eh. Kahit sampung milyong Duterte ang ilagay mo diyan, kung kayo mismo hindi nag-aaral ng matino, sama kayo ng sama sa grupo, tandaan ninyo ang unang hakbang patungong sa kabundukan ay ang iapak ang inyong paa sa lansangan, sumama sa malawak at sistematikong pagkilos sa lansangan,"" sabi ni Ka Tina. Binanatan din ni Ka Tina, ang kabalbalan ng NPA sa bayan. Isa na dito ay pagpapasabog ng mga NPA sa mga imprastruktura at pangingikil sa mga kumpanya. Ikinwento rin niya ang naging buhay niya sa bundok habang siya ay kasama pa sa kilusan. Si Ka Tina ay naging NPA ng isang dekada. Ayon sa ilang mga netizens, gusto nilang magsalita si Ka Tina sa mga unibersidad na pinamumugaran ng mga aktibista. Source: Raoul C Esperas",1
"Sinabi ni PSC Chairman Richie Garcia na ang dalawang araw na seminar ay bahagi sa national project para sa ""awareness and commitment campaign on anti-doping in the Philippines"" na ginaganap din sa buong mundo upang ituro ang mga pamamaraan para makaiwas at lumayo ang mga dadalo sa mga ipinagbabawal na gamot. ""We want to contribute to the creation of a sporting environment conducive to healthy living and where play is fair and true by way of complimentary actions,"" sinabi ni Garcia. ""Also among the objective is to impress upon the values of true play and clean game in sports and promote a drug-free culture among the athletes and young population."" Unang isasagawa sa Marso 4 ang national anti-doping summit sa Unilab Bayanihan Center sa Pioneer St. sa Mandaluyong City habang ang Philippine Anti-Doping Champions: Trainors Training Workshop ay gaganapin sa Quezon City Sports Club sa E. Rodriguez Avenue sa Quezon City. Iniimbitahan ang mga coach, athletes at sports medicine practitioner sa dalawang araw na seminar na bukas para sa lahat din ng mga nagnanais na makibahagi sa programa para makaiwas sa pagkalulong sa bawal na gamot.",0
"Isang bansa sa East Mediterranean sea, ang Lebanon ay nasa hangganan sa hilaga at silangan ng syria at sa timog ng Israel. Ang Beirut ang pinakamalaking lungsod at kapital ng bansa. Mahigit 4.8 milyon ang populasyon ng Lebanon.",0
"SI Vice Ganda kaya ang peg ni Coco Martin bilang si Paloma na going places na? Akala namin noong una, magsusuot ng damit pambabae lang si Coco bilang Cardo sa Ang Probinsiyano dahil gusto nga niyang mapasok ang sindikato ni Olga (Gina Pareno) at na-pick up nga siya ng isang negro.",0
"Para kay incoming senator at dating PNP chief Gen. Ronald ""Bato"" dela Rosa, wala umanong problema kung sakaling makasama niya ng personal sa Senado ang nakakulong na si Sen. Leila de Lima. Sa isang panayam, inamin bi Bato na baka magka-seatmate pa sila ni De Lima kung sakali at maganda aniya itong pangyayari. Ito ay kung makakalaya umano si De Lima sa kanyang pagkakakulong ngayon sa Philippine National Police (PNP) Custodial Center bago magpaso ang tatlong taon na natitira sa kanyang termino. Kung maaalala kabilang ang PNP sa nagdiin noon kay De Lima sa isyu ng drug charges. Si De Lima ay isa sa masidhing kritiko sa kampanya kontra droga ng PNP at administrasyong Duterte. Samantala, hanggang ngayon ay hindi pa rin daw makapaniwala si Bato sa nakamit na tagumpay matapos ang 2019 midterm elections. Ang ""feeling"" daw ni Bato ay isa pa siyang pulis at hindi pa ""nagsi-sink in"" na uupo na siya sa puwesto sa nalalapit na panahon bilang isang mambabatas. Nabanggit na rin ni Bato na sasailalim muna siya sa seminar o training para pag-aralan ang kalakaran ng trabaho sa Senado. Mababatid na si Bato ay nakapuwesto ngayon sa 5th spot sa ""Magic 12"" sa nagpapatuloy na partial at official count ng Commission on Elections (Comelec) sa senatorial race.",1
"Umaani ngayon ng batikos si Magdalo Representative Gary Alejano mula sa mga netizens dahil sa mga lumabas sa kanyang bunganga. Sa isang talumpati na nakunan ng video, sinabi ni Alejano na mauuna daw na papanaw si Pangulong Rodrigo Duterte. Ayon sa ilang impormasyon, sinabi daw ito ni Alejano sa harap ng iilang Pilipino sa United Kingdom. ""It's a start! You have to go thorugh that. Kung mayroon man tayong dinadaanang kahirapan, o may present situation tayo ngayon, dadaan lang iyan. Si Duterte dadaan lang yan, naniniwala ba kayo? Dadaan lang sya dahil ang term nya 2022 na noh. Puwede ng matapos yung term nya, e puwede na rin syang matapos sa mundong ito. Ganun lang yun no. I BELIEVE MAUUNANG MAMATAY SA ATIN YUN KASI MATANDA NA SYA E 'DI BA? Baka sabihin na naman pinagdadasal natin,"" sabi ni Alejano. Source: Jay Sonza",1
Play the video below                Nag viral ang video na ito matapos i post ng isang netizen sa social media. halo-halong reaksyon ang nakita matapos kantahin ang mga numero at nilapatan ng tunog ng original song na Always somewhere.,1
"Sa isang social media post, hinamon ni Maastricht University lecturer at pro-government blogger na si Sass Rogando Sasot si Bise Presidente Leni Robredo na magbitiw sa pwesto kung mapapatunayan na peke ang mga ipinakita ni ""Bikoy"" na dokumento na nag-uugnay sa mga kaanak ni Pangulong Rodrigo Duterte sa droga. Ayon pa kay Sasot, magbibitiw naman siya sa kanyang trabaho at isasara ang kanyang social media page kung mapapatunayan naman na totoo ang bintang ni ""Bikoy"" sa pamilya ng Pangulo. ""LENI ROBREDO, let's make a deal: Kung totoo iyong Rural Bank of Guinobatan (RSBI) accounts at transactions na sinabi ni Bikoy, isasara ko itong Page ko for good at mag-reresign ako sa work. KAPAG hindi totoo, mag-reresign ka as VP. DARE?"" hamon ni Sasot. Magugunitang nagkomento ang kampo ni Leni sa ""Bikoy"" videos. Ayon sa tagapagsalita nito na si Atty. Barry Gutierrez, imbes daw na beripikahin kung totoo ang bank accounts na sinasabi ni Bikoy, inimbistigahan pa daw ang naglabas ng video ni Bikoy. ""Nakakapagtaka lamang na imbes na tignan muna kung may katotohanan ang mga malalim na alegasyon sa video-halimbawa, sa simpleng pag-verify ng mga binanggit na bank account- mas binigyan pa ng pansin ang pag-imbestiga sa gumawa at nalabas nito,"" sabi ng spokesperson ni Leni. Noong nakaraang buwan ay naglabas na ng RURAL BANK OF GUINOBATAN, INC. (RGBI) ng pahayag matapos lumabas sa video ni Bikoy ang logo ng kanilang bangko sa dokumentong ipinakita ni Bikoy. Ayon sa RGBI, walang katotohanan ang mga pinagsasabi ni Bikoy. ""The Rural Bank of Guinobatan, Inc. (RBGI) is unfortunately mentioned in a video that has been circulating in different social media platforms implying that the bank is being used in facilitating transactions allegedly involving drug money. This allegation implicating RBGI is not only downright false but also preposterous... RBGI categorically denies that it has existing bank accounts with the number combinations mentioned and that any of the alleged transactions never happened involving RBGI as mentioned in the videos,"" sabi ng RBGI. Source: Sass | News5 | RURAL BANK OF GUINOBATAN Inc.",1
